id,value1,value2,category
0,51,0.12946193512519885,C
1,92,-1.9856633558035592,C
2,14,0.9399808180928202,B
3,71,-0.3895427945831535,B
4,60,-1.2703794712084044,A
5,20,-0.43893397234400294,C
6,82,-1.9020696485464397,B
7,86,-1.2498893112390432,B
8,74,0.14294961011538898,C
9,74,0.2267116863405666,C
10,87,0.30643883425516816,A
11,99,0.003209867763497622,A
12,23,-0.6928651234720118,B
13,2,-0.054459139460565284,A
14,21,-0.43720744694788527,B
15,52,-1.625781598075184,A
16,1,-0.7724149910105881,C
17,87,0.8895412311690245,A
18,29,1.5882941520549443,B
19,37,0.6512750441186885,A
20,1,1.5436977609924138,B
21,63,0.08538861013495828,B
22,59,1.7423760847025391,A
23,20,2.0544884403285804,A
24,32,-1.733469498036188,B
25,75,0.22149330713283266,C
26,57,0.08643018908754228,A
27,21,-0.42410381558409904,B
28,88,0.4919155381513867,C
29,48,0.04112506864187696,B
30,90,-0.7354489203920433,A
31,58,-0.026605105036981547,B
32,41,1.2045945793683899,B
33,91,0.18253809688267564,B
34,59,0.6269547482561325,A
35,79,-0.27705310027909125,C
36,14,0.4520640101516148,C
37,61,-1.2092145304831798,C
38,61,-0.4997204994197924,C
39,46,-0.10266860856592804,A
40,61,-1.2763359206265377,B
41,50,-0.8302167188922722,C
42,54,0.3131117685738916,C
43,63,0.12983191628803234,A
44,2,0.8063654246577088,B
45,50,-0.600511018185164,B
46,6,0.05760222600524153,C
47,20,-0.6718674108838285,C
48,72,0.7061285491093263,B
49,38,1.1907461160252475,A
50,17,0.4833248272528027,B
51,3,1.0611942762765827,B
52,88,0.03249986288786191,C
53,59,0.8055938349951759,A
54,13,0.07541774261246036,A
55,8,-1.0249280665857678,A
56,89,0.24672138869860635,C
57,52,-0.9952966937905094,A
58,1,2.3391289515689104,A
59,83,-0.33408815877533443,C
60,91,0.6450378554489973,B
61,59,-0.012413219525594604,A
62,70,-1.2336134240359058,B
63,43,-1.8985230300645715,A
64,7,0.749013955074131,B
65,46,1.5493409267710596,B
66,34,-0.7348037072103585,C
67,77,-1.6566925195595903,C
68,80,-0.32516273242162497,A
69,35,-0.9371170452387335,A
70,49,-0.6503156798620932,C
71,3,0.6103736997252854,A
72,1,-0.050463047402838246,A
73,5,-0.8295075588820175,C
74,53,0.588500786261195,B
75,3,0.6668723450757911,A
76,53,-0.3370574860446252,C
77,92,0.13791652091806014,A
78,62,0.5205018830769744,A
79,17,0.4261031309833969,C
80,89,0.040614086965532745,C
81,43,1.4325861182252961,A
82,33,0.582680813015186,A
83,73,-0.4506790164977329,B
84,61,-0.44466906769890485,B
85,99,-0.5580863501366736,C
86,13,0.6321209472278112,A
87,94,-0.6227475600019066,C
88,47,-0.4248990892028066,C
89,14,1.0580223881158126,A
90,71,0.19163196206738903,B
91,77,1.1985326271211874,C
92,86,0.7980598733523421,C
93,61,-1.1766718290700633,A
94,39,-0.10213305824070133,B
95,84,0.9899490399685423,B
96,79,-1.2221760651510125,A
97,81,0.41971082035867624,C
98,52,-0.039236473698743904,A
99,23,-1.754788742122387,A
100,25,0.11965930451893353,B
101,88,-0.8374680161265329,C
102,59,-1.167651782116426,C
103,40,0.009140675822632775,B
104,28,-1.9308529392530067,C
105,14,-0.6742902925848823,C
106,44,2.5511742525026477,A
107,64,0.6502223934069432,A
108,88,-0.8814249061673531,A
109,70,1.4041659401003963,C
110,8,-0.9920435607771338,C
111,87,-0.5536951531354725,C
112,0,-1.1488514099292881,C
113,7,0.2560798786660208,B
114,87,1.3686296220971284,B
115,62,-0.9990062325598563,C
116,10,-2.060443037409089,A
117,80,1.0909666745194195,A
118,7,1.5538005010876805,B
119,34,-1.995080466414733,B
120,34,0.46005434144644397,C
121,32,0.2265053521152884,C
122,4,-0.7874753048877546,C
123,40,-1.3943556666692327,C
124,27,0.9917503454465558,C
125,6,0.17907053145719495,A
126,72,0.25442645742672076,A
127,71,-0.6217693528332011,C
128,11,-0.8019092044499574,A
129,33,-2.454973541273946,C
130,32,-0.2280280297848792,C
131,47,1.4388263794542229,B
132,22,-0.8902544200486536,A
133,61,-1.5224146942667398,A
134,87,0.43566456645700186,B
135,36,0.6200799984463362,A
136,98,-0.5859059606811758,B
137,43,-0.34876446469964173,A
138,85,0.26390311721875853,C
139,90,-0.15554946862932667,B
140,34,1.0001293357539816,C
141,64,2.437242575924219,C
142,98,-1.7091635551904558,A
143,46,1.2297551305579804,B
144,77,0.10525970102333389,C
145,2,1.3882009388541614,C
146,0,0.7243545112656794,B
147,4,0.061156459935711685,A
148,89,0.7600229424410341,C
149,13,-0.3941557711847976,A
150,26,-0.7743014221048545,B
151,8,0.8108631155983488,A
152,78,-0.8443284487895042,B
153,14,0.6423725916415679,A
154,89,0.030747583087498632,A
155,41,-2.329441651122576,C
156,76,-0.5743824504629396,A
157,50,0.3348381950246217,C
158,62,-0.4060006639084922,B
159,95,-2.5467321117621853,B
160,51,1.3207501278261604,C
161,95,0.1693750512716112,A
162,3,0.4437392912698055,B
163,93,-0.4732761521782438,B
164,22,0.5314896881466579,B
165,14,1.8348201445867027,C
166,42,-0.7350729836273577,B
167,28,1.6670127053570707,B
168,35,0.3985640658920073,B
169,12,-0.869432748036864,B
170,31,2.2123906375910085,C
171,70,0.39164023988893254,C
172,58,0.6764786687730411,A
173,85,-0.26935210472675786,B
174,27,-0.7963266453295174,C
175,65,0.16781324467578934,A
176,41,1.5814637234833284,A
177,44,-0.30965981218568894,B
178,61,-0.02675124557413819,A
179,56,1.456328471979585,C
180,5,-0.3003268458042405,A
181,27,0.5102763111691205,A
182,27,0.8773505067396974,C
183,43,-0.19678094887698314,A
184,83,0.30983759319992266,A
185,29,0.6611027776811732,A
186,61,-0.40091519354412697,A
187,74,0.8157651649899932,B
188,91,-0.5469860834554389,B
189,88,-0.675087578960491,C
190,61,-1.527041060820457,A
191,96,-0.5034623439010585,C
192,0,-0.8155027018702209,B
193,26,-0.4008739562549743,A
194,61,0.6119926319144883,A
195,76,-1.7256742533751028,B
196,2,-1.974670894587108,A
197,69,-0.7490792166512826,A
198,71,0.461230493586657,B
199,26,0.2888649470196864,C
200,8,-0.7650623329109258,C
201,61,1.1694082321564618,A
202,36,-0.6584099351183408,B
203,96,0.46245398612712674,C
204,50,-0.36278632753417217,C
205,43,-0.8687763509936562,A
206,23,-0.6050667881147398,C
207,78,0.734000384813558,B
